iter	Passed	Remaining
595	4963	3364
596	4972	3356
597	4981	3349
598	4991	3341
599	5001	3334
600	5014	3329
601	5024	3322
602	5034	3314
603	5044	3307
604	5053	3299
605	5062	3291
606	5071	3283
607	5079	3275
608	5087	3266
609	5095	3257
610	5102	3248
611	5110	3240
612	5118	3231
613	5125	3222
614	5134	3214
615	5143	3206
616	5150	3197
617	5158	3188
618	5166	3179
619	5173	3171
620	5181	3162
621	5190	3154
622	5199	3146
623	5208	3138
624	5216	3129
625	5225	3121
626	5234	3113
627	5243	3105
628	5251	3097
629	5259	3088
630	5268	3080
631	5277	3072
632	5285	3064
633	5293	3055
634	5304	3048
635	5314	3041
636	5327	3035
637	5336	3028
638	5346	3020
639	5356	3012
640	5365	3005
641	5374	2997
642	5384	2989
643	5393	2981
644	5402	2973
645	5411	2965
646	5421	2957
647	5429	2949
648	5438	2941
649	5447	2933
650	5456	2925
651	5464	2916
652	5472	2908
653	5483	2900
654	5494	2894
655	5505	2886
656	5515	2879
657	5524	2871
658	5533	2863
659	5542	2855
660	5551	2847
661	5561	2839
662	5571	2831
663	5585	2826
664	5594	2818
665	5607	2812
666	5622	2807
667	5639	2802
668	5651	2796
669	5663	2789
670	5674	2782
671	5687	2775
672	5697	2768
673	5709	2761
674	5720	2754
675	5729	2746
676	5738	2737
677	5746	2729
678	5754	2720
679	5763	2712
680	5771	2703
681	5779	2695
682	5788	2686
683	5795	2677
684	5803	2668
685	5811	2659
686	5818	2651
687	5826	2642
688	5834	2633
689	5841	2624
690	5849	2615
691	5856	2606
692	5864	2597
693	5871	2588
694	5879	2580
695	5886	2571
696	5895	2563
697	5906	2555
698	5915	2547
699	5924	2538
700	5934	2531
701	5944	2523
702	5955	2515
703	5966	2508
704	5976	2500
705	5987	2493
706	5996	2485
707	6004	2476
708	6012	2467
709	6019	2458
710	6027	2449
711	6034	2441
712	6042	2432
713	6049	2423
714	6057	2414
715	6064	2405
716	6072	2396
717	6079	2387
718	6087	2379
719	6095	2370
720	6103	2361
721	6115	2354
722	6125	2346
723	6133	2338
724	6142	2330
725	6151	2321
726	6160	2313
727	6168	2304
728	6176	2296
729	6185	2287
730	6194	2279
731	6202	2270
732	6210	2262
733	6217	2253
734	6225	2244
735	6233	2235
736	6240	2227
737	6248	2218
738	6255	2209
739	6263	2200
740	6270	2191
741	6278	2183
742	6286	2174
743	6293	2165
744	6301	2156
745	6309	2148
746	6319	2140
747	6327	2131
748	6335	2123
749	6344	2114
750	6353	2106
751	6361	2097
752	6369	2089
753	6378	2081
754	6387	2072
755	6395	2064
756	6404	2055
757	6412	2047
758	6420	2038
759	6427	2029
760	6435	2021
761	6442	2012
762	6450	2003
763	6458	1994
764	6465	1986
765	6473	1977
766	6480	1968
767	6488	1959
768	6495	1951
769	6503	1942
770	6511	1934
771	6520	1925
772	6527	1916
773	6536	1908
774	6545	1900
775	6553	1891
776	6562	1883
777	6570	1875
778	6579	1866
779	6588	1858
780	6596	1849
781	6605	1841
782	6613	1832
783	6620	1824
784	6628	1815
785	6635	1806
786	6643	1798
787	6651	1789
788	6658	1780
789	6666	1772
790	6673	1763
791	6681	1754
792	6688	1746
793	6696	1737
794	6703	1728
795	6711	1720
796	6720	1711
797	6728	1703
798	6739	1695
799	6749	1687
800	6757	1678
801	6765	1670
802	6774	1662
803	6783	1653
804	6791	1645
805	6799	1636
806	6808	1628
807	6816	1619
808	6824	1611
809	6832	1602
810	6839	1593
811	6847	1585
812	6854	1576
813	6862	1568
814	6869	1559
815	6877	1550
816	6884	1542
817	6892	1533
818	6900	1524
819	6907	1516
820	6915	1507
821	6923	1499
822	6932	1490
823	6940	1482
824	6949	1474
825	6958	1465
826	6966	1457
827	6975	1448
828	6983	1440
829	6992	1432
830	7000	1423
831	7008	1415
832	7017	1406
833	7025	1398
834	7033	1389
835	7040	1381
836	7048	1372
837	7056	1364
838	7063	1355
839	7071	1346
840	7078	1338
841	7086	1329
842	7093	1321
843	7101	1312
844	7109	1304
845	7116	1295
846	7124	1286
847	7133	1278
848	7140	1270
849	7149	1261
850	7157	1253
851	7166	1244
852	7175	1236
853	7183	1228
854	7192	1219
855	7200	1211
856	7208	1202
857	7217	1194
858	7225	1186
859	7233	1177
860	7241	1169
861	7248	1160
862	7256	1151
863	7263	1143
864	7271	1134
865	7279	1126
866	7286	1117
867	7294	1109
868	7301	1100
869	7309	1092
870	7316	1083
871	7324	1075
872	7333	1066
873	7341	1058
874	7349	1049
875	7358	1041
876	7367	1033
877	7376	1024
878	7385	1016
879	7393	1008
880	7402	999
881	7411	991
882	7421	983
883	7429	974
884	7437	966
885	7445	957
886	7452	949
887	7460	940
888	7468	932
889	7475	923
890	7483	915
891	7491	906
892	7498	898
893	7506	889
894	7513	881
895	7521	872
896	7528	864
897	7536	856
898	7545	847
899	7553	839
900	7562	830
901	7570	822
902	7578	814
903	7587	805
904	7596	797
905	7604	788
906	7613	780
907	7621	772
908	7630	763
909	7638	755
910	7646	747
911	7654	738
912	7661	730
913	7669	721
914	7676	713
915	7684	704
916	7692	696
917	7699	687
918	7707	679
919	7714	670
920	7722	662
921	7729	653
922	7737	645
923	7746	637
924	7755	628
925	7764	620
926	7772	612
927	7781	603
928	7790	595
929	7799	587
930	7808	578
931	7816	570
932	7825	561
933	7833	553
934	7841	545
935	7849	536
936	7857	528
937	7864	519
938	7872	511
939	7879	502
940	7887	494
941	7895	486
942	7902	477
943	7910	469
944	7917	460
945	7925	452
946	7932	443
947	7942	435
948	7950	427
949	7958	418
950	7967	410
951	7976	402
952	7985	393
953	7993	385
954	8003	377
955	8012	368
956	8021	360
957	8030	352
958	8039	343
959	8047	335
960	8054	326
961	8062	318
962	8069	310
963	8077	301
964	8085	293
965	8093	284
966	8100	276
967	8108	268
968	8115	259
969	8123	251
970	8131	242
971	8138	234
972	8147	226
973	8156	217
974	8163	209
975	8173	200
976	8183	192
977	8191	184
978	8199	175
979	8209	167
980	8218	159
981	8226	150
982	8234	142
983	8245	134
984	8253	125
985	8261	117
986	8268	108
987	8276	100
988	8283	92
989	8291	83
990	8298	75
991	8306	66
992	8314	58
993	8321	50
994	8329	41
995	8336	33
996	8344	25
997	8353	16
998	8364	8
999	8374	0
