iter	RMSE
188	0.2142412572
189	0.2142176522
190	0.2141337923
191	0.214069425
192	0.214016353
193	0.2139538636
194	0.2139048175
195	0.213857196
196	0.2138191213
197	0.2137282106
198	0.213669131
199	0.2136271981
200	0.2135996295
201	0.2134903557
202	0.2134390142
203	0.2134068926
204	0.2133107307
205	0.2132495695
206	0.2131986705
207	0.2131465945
208	0.2130782706
209	0.2130024118
210	0.2129738811
211	0.2129541622
212	0.2129290812
213	0.2128561337
214	0.2128308385
215	0.2127883005
216	0.2127181616
217	0.2126669884
218	0.2126248264
219	0.2125619202
220	0.2125256096
221	0.212497647
222	0.2124516728
223	0.212351936
224	0.2123257405
225	0.2122689943
226	0.2121917674
227	0.2121503628
228	0.2120927838
229	0.2120653932
230	0.2120384282
231	0.2120048678
232	0.2119529242
233	0.2119089821
234	0.2118638426
235	0.211798202
236	0.2117448811
237	0.2116921476
238	0.2116291835
239	0.2115941571
240	0.2115490261
241	0.2115111666
242	0.2114734698
243	0.2114189973
244	0.2113823507
245	0.2113046626
246	0.2112781594
247	0.2112223027
248	0.2111959601
249	0.2111436408
250	0.2110935362
251	0.2110503701
252	0.2110241
253	0.2109905726
254	0.2109437239
255	0.2109178384
256	0.2108656857
257	0.2108401788
258	0.2107864364
259	0.2107676851
260	0.21072731
261	0.2106628904
262	0.2106193335
263	0.2105943212
264	0.2105520861
265	0.2105291724
266	0.2104779119
267	0.2104392079
268	0.2104040712
269	0.210383684
270	0.2103348861
271	0.2102883644
272	0.2102526505
273	0.2102208459
274	0.2101774591
275	0.2101530303
276	0.2101286917
277	0.210094417
278	0.2100488133
279	0.2099866826
280	0.2099625352
281	0.209938625
282	0.2099046862
283	0.2098369642
284	0.2098021155
285	0.2097383271
286	0.2096454595
287	0.2095817084
288	0.2095250069
289	0.2094851949
290	0.2094642557
291	0.2094351996
292	0.2093740453
293	0.2093504625
294	0.2093099892
295	0.2092704102
296	0.2092471734
297	0.2092103516
298	0.2091413162
299	0.2090554256
300	0.2090246444
301	0.2089864513
302	0.2089384663
303	0.2089026962
304	0.2088644893
305	0.2088180272
306	0.2087785479
307	0.2087472962
308	0.2087244261
309	0.2086384972
310	0.2085976895
311	0.2085750135
312	0.2085300333
313	0.2084930222
314	0.2084413629
315	0.208418863
316	0.2083642979
317	0.2083448421
318	0.2083120838
319	0.2082817202
320	0.2082261095
321	0.2081778176
322	0.2081399524
323	0.2080771544
324	0.2080564939
325	0.2080375579
326	0.2079904525
327	0.2079272745
328	0.2078839761
329	0.2078527821
330	0.2078308521
331	0.2077598957
332	0.2077215633
333	0.2076896795
334	0.2076318717
335	0.2075838996
336	0.2075344122
337	0.2075061921
338	0.2074648382
339	0.2074433261
340	0.2074127084
341	0.2073929195
342	0.2073444111
343	0.207312201
344	0.2072678863
345	0.2072366362
346	0.2072091496
347	0.2071680996
348	0.2071469107
349	0.2071045143
350	0.2070664334
351	0.2070094891
352	0.2069883731
353	0.2069578502
354	0.206936869
355	0.2068934913
356	0.2068726636
357	0.2068385978
358	0.2067872664
359	0.2067496475
360	0.2067289457
361	0.2066998328
362	0.2066792274
363	0.2066470884
364	0.2066267268
365	0.2065531859
366	0.2065060119
367	0.2064693307
368	0.2064418827
369	0.2063832135
370	0.2063210692
371	0.2063012095
372	0.2062814697
373	0.2062514097
374	0.2062099019
375	0.2061718616
376	0.2061327673
377	0.2060938656
378	0.2060668964
379	0.2060229438
380	0.2059940898
381	0.2059562847
382	0.2059203247
383	0.205893667
384	0.2058572714
385	0.205799765
386	0.2057563778
387	0.2057367233
388	0.2057171166
389	0.2056963381
390	0.2056609297
391	0.2056324487
392	0.2055908233
393	0.2055432174
394	0.2055188636
395	0.2054767734
396	0.2054487333
397	0.2054293175
398	0.2054019123
399	0.205377936
400	0.2053586561
401	0.2053071854
402	0.2052880267
403	0.2052404736
404	0.2052039229
405	0.2051605354
406	0.2051264386
407	0.2050738579
408	0.2050548402
409	0.2050135087
410	0.204963429
411	0.2049426069
412	0.2049034949
413	0.2048865713
414	0.2048701545
415	0.2048252591
416	0.2047930393
417	0.2047580942
418	0.2047107157
419	0.2046700242
420	0.2046129438
421	0.2045942388
422	0.2045647521
423	0.2045428666
424	0.2045065168
425	0.2044822514
426	0.2044430056
427	0.2044050659
428	0.2043718746
429	0.204313267
430	0.2042893079
431	0.2042571539
432	0.204237272
433	0.2042203409
434	0.2042020209
435	0.20415405
436	0.2041239775
437	0.204088415
438	0.204071561
439	0.204035564
440	0.2040174863
441	0.2040036602
442	0.203969506
443	0.2039253228
444	0.2039029947
445	0.2038774462
446	0.2038413478
447	0.2038195013
448	0.2037984098
449	0.2037679312
450	0.2037414141
451	0.203723528
452	0.2037047064
453	0.2036868927
454	0.2036082722
455	0.2035626372
456	0.2035256118
457	0.2034650727
458	0.203416219
459	0.2033520461
460	0.2033150308
461	0.2032929229
462	0.2032752041
463	0.203238799
464	0.2032061661
465	0.2031870669
466	0.2031508797
467	0.2031171555
468	0.2030921424
469	0.2030745179
470	0.2030446144
471	0.2030111846
472	0.2029770995
473	0.2029552535
474	0.2029403666
475	0.2029050958
476	0.202841376
477	0.2028077414
478	0.2027821743
479	0.2027647698
480	0.2027366864
481	0.2027044169
482	0.2026749779
483	0.2026535913
484	0.2026289609
485	0.2025934919
486	0.202576337
487	0.2025663463
488	0.2025194731
489	0.2025024184
490	0.2024570776
491	0.2024358507
492	0.202427807
493	0.2023687439
494	0.2023358809
495	0.2022751364
496	0.2022520941
497	0.2022232416
498	0.2022063393
499	0.2021965525
500	0.2021877987
501	0.202146739
502	0.2021079671
503	0.2020911724
504	0.2020828874
505	0.202073205
506	0.202019843
507	0.2019934114
508	0.2019843137
509	0.2019761136
510	0.2019674866
511	0.2019302048
512	0.2018935307
513	0.2018512988
514	0.201841692
515	0.201836502
516	0.2018063465
517	0.2017604046
518	0.2017387973
519	0.2017297751
520	0.2017130829
521	0.2016655336
522	0.2016390621
523	0.2015783897
524	0.2015617561
525	0.2015441134
526	0.2015177422
527	0.2015106553
528	0.2015051429
529	0.2014775701
530	0.2014695294
531	0.2014530328
532	0.2014426012
533	0.2014285962
534	0.2013762133
535	0.2013697657
536	0.20136117
537	0.2013294717
538	0.2012819401
539	0.2012732896
540	0.201235199
541	0.2012265652
542	0.2011909402
543	0.2011819937
544	0.2011724673
545	0.201162956
546	0.2011299927
547	0.2010965539
548	0.201086126
549	0.2010781369
550	0.2010695749
551	0.2010481456
552	0.2010217145
553	0.2010022145
554	0.200973279
555	0.2009279767
556	0.200919327
557	0.2009089356
558	0.2008985654
559	0.2008716649
560	0.2008627787
561	0.2008550922
562	0.200838744
563	0.2008292626
564	0.2008189187
565	0.2008095271
566	0.2008001203
567	0.2007907421
568	0.2007813493
569	0.2007737464
570	0.200739472
571	0.2007328993
572	0.2007126109
573	0.2006964046
574	0.2006635771
575	0.200657278
576	0.2006078388
577	0.2005984876
578	0.2005891354
579	0.2005613936
580	0.2005360289
581	0.2005158799
582	0.2005065646
583	0.2004981537
584	0.2004879508
585	0.2004777522
586	0.2004701434
587	0.2004629345
588	0.2004309698
589	0.200420818
590	0.2003977761
591	0.2003777703
592	0.2003676396
593	0.2003515886
594	0.2003464837
595	0.200337264
596	0.2003280586
597	0.2003206493
598	0.2002794156
599	0.2002489124
600	0.200232915
601	0.2002270123
602	0.2002043409
603	0.2001845454
604	0.2001600187
605	0.2001499515
606	0.2001417113
607	0.2001334897
608	0.2001234659
609	0.2001151283
610	0.2001065011
611	0.2000589342
612	0.2000364687
613	0.2000308356
614	0.2000216897
615	0.1999640791
616	0.1999558387
617	0.1999458307
618	0.1999367111
619	0.1999267115
620	0.1999018828
621	0.1998970084
622	0.1998870145
623	0.19987702
624	0.1998670266
625	0.1998583967
626	0.1998297044
627	0.1998217028
628	0.199813891
629	0.1998053481
630	0.1997962895
631	0.1997805306
632	0.1997472941
633	0.1997382183
634	0.1997129157
635	0.1997043921
636	0.1996981971
637	0.1996891223
638	0.1996809866
639	0.1996723682
640	0.1996646231
641	0.1996344334
642	0.1995925466
643	0.1995843941
644	0.1995762123
645	0.199556657
646	0.1995264057
647	0.1995178694
648	0.1995079059
649	0.1994979427
650	0.1994894115
651	0.1994812756
652	0.1994750412
653	0.1994650958
654	0.1994551784
655	0.1994340697
656	0.19942417
657	0.1993840443
658	0.1993754876
659	0.1993395241
660	0.1993309698
661	0.1993210802
662	0.1993054731
663	0.1992654005
664	0.1992382273
665	0.1992297365
666	0.1992198591
667	0.1991876567
668	0.1991777816
669	0.1991679112
670	0.1991302514
671	0.1991101449
672	0.1990805553
673	0.1990715859
674	0.1990617551
675	0.1990519256
676	0.1990329603
677	0.1990053243
678	0.1989955035
679	0.1989871298
680	0.1989716195
681	0.1989618228
682	0.1989543299
683	0.1989445479
684	0.1989050105
685	0.1988960827
686	0.1988877315
687	0.1988779823
688	0.1988266585
689	0.1988029724
690	0.1987932286
691	0.1987642918
692	0.1987545605
693	0.1987244581
694	0.1987147323
695	0.198689261
696	0.1986821329
697	0.1986724136
698	0.1986287112
699	0.1986190347
700	0.1985873666
701	0.1985785864
702	0.1985632453
703	0.1985079951
704	0.198498337
705	0.1984681714
706	0.1984440855
707	0.1984185538
708	0.1984032433
709	0.1983949877
710	0.1983853541
711	0.1983626721
712	0.1983530428
713	0.1983378048
714	0.1983281797
715	0.1983185565
716	0.198308935
717	0.1982993242
718	0.1982897171
719	0.1982633042
720	0.198253703
721	0.1982441027
722	0.1982361819
723	0.1982127352
724	0.1982031334
725	0.1981935359
726	0.1981839453
727	0.198175231
728	0.1981665119
729	0.198156939
730	0.1981418009
731	0.1981322376
732	0.1981243367
733	0.1981147793
734	0.198106893
735	0.1980570092
736	0.198029384
737	0.198019823
738	0.1979987281
739	0.1979891766
740	0.1979796326
741	0.1979700946
742	0.1979331771
743	0.1979145246
744	0.1979049999
745	0.197877293
746	0.1978677798
747	0.1978527587
748	0.1978477415
749	0.1978328791
750	0.1978233801
751	0.1977927924
752	0.1977832964
753	0.1977746193
754	0.1977651259
755	0.1977556508
756	0.1977461872
757	0.1977367355
758	0.1977181942
759	0.1977087589
760	0.1976993334
761	0.1976899165
762	0.1976682428
763	0.197643535
764	0.1976349647
765	0.1975841816
766	0.1975747734
767	0.1975653646
768	0.1975559595
769	0.1975465701
770	0.1975371931
771	0.1975187306
772	0.1975093526
773	0.1974827047
774	0.1974733308
775	0.1974666192
776	0.1974482331
777	0.1974388857
778	0.1974295578
779	0.1974218713
780	0.1973922855
781	0.1973628713
782	0.1973558101
783	0.1973464828
784	0.1973371574
785	0.1973278387
786	0.1973185363
787	0.1973038222
788	0.1972800963
789	0.1972527854
790	0.1972320156
791	0.1972026825
792	0.1971950611
793	0.1971874191
794	0.1971781724
795	0.1971599629
796	0.1971507249
797	0.1971149529
798	0.1970766739
799	0.1970344089
800	0.197025174
801	0.1970180272
802	0.197003419
803	0.196959705
804	0.1969388172
805	0.1969295915
806	0.1969203709
807	0.1969111504
808	0.1969019326
809	0.1968927184
810	0.1968835127
811	0.1968654383
812	0.1968562338
813	0.1968470368
814	0.1968378461
815	0.1968071426
816	0.1967979462
817	0.1967623857
818	0.1967531981
819	0.1967440176
820	0.1967348507
821	0.1967079908
822	0.1966934551
823	0.1966842911
824	0.1966751267
825	0.1966659633
826	0.1966581518
827	0.1966489948
828	0.1966410987
829	0.1966337429
830	0.1965788411
831	0.1965478033
832	0.1965115093
833	0.1965023563
834	0.1964818614
835	0.1964674191
836	0.1964416377
837	0.1963843517
838	0.1963502116
839	0.1963410648
840	0.1963100317
841	0.1963009023
842	0.1962813824
843	0.1962742255
844	0.1962258819
845	0.1962167686
846	0.1961941739
847	0.1961850642
848	0.1961759653
849	0.1961668819
850	0.1961284886
851	0.1960947272
852	0.1960591262
853	0.1960292638
854	0.1960201882
855	0.1960111227
856	0.1960073005
857	0.1959792772
858	0.1959649309
859	0.1959558734
860	0.1959484239
861	0.195939384
862	0.1959303563
863	0.1959232471
864	0.1959089414
865	0.1958785093
866	0.1958607669
867	0.1958465903
868	0.1958375711
869	0.1958285546
870	0.195819548
871	0.195810546
872	0.1958015442
873	0.1957925556
874	0.1957835801
875	0.1957746273
876	0.1957656829
877	0.1957567401
878	0.1957478033
879	0.1957388738
880	0.1957316753
881	0.1957164937
882	0.1956965686
883	0.1956876838
884	0.1956596316
885	0.1956280083
886	0.1956191333
887	0.1955761463
888	0.1955420476
889	0.1955279875
890	0.1955020792
891	0.1954932064
892	0.1954843373
893	0.195466398
894	0.1954575388
895	0.1954486918
896	0.1954346772
897	0.1954074675
898	0.1953986228
899	0.1953897799
900	0.1953809421
901	0.1953740544
902	0.1953652184
903	0.1953563898
904	0.1953475619
905	0.1953387348
906	0.1952838971
907	0.1952750754
908	0.1952662591
909	0.1952583199
910	0.1952526162
911	0.1952438055
912	0.1952350047
913	0.1952275325
914	0.195200702
915	0.1951919119
916	0.1951831218
917	0.1951743326
918	0.1951655472
919	0.1951516614
920	0.195142877
921	0.19511826
922	0.195109478
923	0.1951019257
924	0.1950949728
925	0.195086206
926	0.1950486365
927	0.1950398765
928	0.1950329334
929	0.1950190999
930	0.195010358
931	0.1950016246
932	0.194984481
933	0.1949757575
934	0.1949670462
935	0.1949431534
936	0.194934454
937	0.1949257686
938	0.1949120679
939	0.1948825995
940	0.1948739388
941	0.1948568929
942	0.1948333178
943	0.1948246645
944	0.1948023014
945	0.1947736141
946	0.1947649604
947	0.194756311
948	0.194747682
949	0.1947340253
950	0.1947204342
951	0.194711814
952	0.1947031972
953	0.1946956542
954	0.1946870401
955	0.1946784282
956	0.1946698199
957	0.1946627392
958	0.1946458076
959	0.1946372273
960	0.1946126683
961	0.19458612
962	0.1945775556
963	0.1945549068
964	0.1945463427
965	0.1945256462
966	0.1945064435
967	0.1944978881
968	0.1944843303
969	0.1944757869
970	0.1944672544
971	0.194440934
972	0.1944324238
973	0.1944239183
974	0.1944072367
975	0.1943839447
976	0.1943418279
977	0.1943205151
978	0.1942957127
979	0.1942652294
980	0.1942567272
981	0.1942482298
982	0.1942185638
983	0.1942100695
984	0.1941771776
985	0.194147522
986	0.1941302152
987	0.1941217246
988	0.1941132479
989	0.1940759237
990	0.1940674516
991	0.1940317233
992	0.1940232505
993	0.1939960165
994	0.1939875463
995	0.1939810199
996	0.1939725514
997	0.1939640847
998	0.193955619
999	0.1939305366
